Promedio de calificaciones por curso:
Curso:  Assisting Public Sector Decision Makers With Policy Analysis, Promedio: 4.80
Curso: Data Analysis with R Programming, Promedio: 4.80
Curso: Data Analysis with R Specialization, Promedio: 4.70
Curso: Data Analyst Career Guide and Interview Preparation, Promedio: 4.60
Curso: Data Analytics in the Public Sector with R Specialization, Promedio: 4.80
Curso: Data Collection and Processing with Python, Promedio: 4.70
Curso: Data Collection: Online, Telephone and Face-to-face, Promedio: 4.60
Curso: Data Engineering Career Guide and Interview Preparation, Promedio: 4.60
Curso: Data Engineering Foundations Specialization, Promedio: 4.70
Curso: Data Integration with Microsoft Azure Data Factory, Promedio: 3.90
Curso: Data Mining Foundations and Practice Specialization, Promedio: 3.60
Curso: Data Modeling in Power BI, Promedio: 4.20
Curso: Data Privacy Fundamentals, Promedio: 4.80
Curso: Data Processing with Azure, Promedio: 3.70
Curso: Data Science Ethics, Promedio: 4.70
Curso: Data Science Fundamentals for Data Analysts, Promedio: 4.20
Curso: Data Science Fundamentals with Python and SQL Specialization, Promedio: 4.60
Curso: Data Science Methodology, Promedio: 4.60
Curso: Data Science Methods for Quality Improvement Specialization, Promedio: 4.60
Curso: Data Science Project: MATLAB for the Real World, Promedio: 4.80
Curso: Data Science Specialization, Promedio: 4.50
Curso: Data Science and Analysis Tools - from Jupyter to R Markdown Specialization, Promedio: 3.50
Curso: Data Science as a Field, Promedio: 4.20
Curso: Data Science con Python e R Specialization, Promedio: 4.40
Curso: Data Science for Business Innovation, Promedio: 4.30
Curso: Data Science with Databricks for Data Analysts Specialization, Promedio: 4.40
Curso: Data Science with R - Capstone Project, Promedio: 4.60
Curso: Data Science: Foundations using R Specialization, Promedio: 4.60
Curso: Data Science: Statistics and Machine Learning Specialization, Promedio: 4.60
Curso: Data Storage in Microsoft Azure, Promedio: 4.30
Curso: Data Structures & Backend with Java, Promedio: 4.30
Curso: Data Structures and Algorithms Specialization, Promedio: 4.60
Curso: Data Visualization and Dashboards with Excel and Cognos, Promedio: 4.70
Curso: Data Visualization with Python, Promedio: 4.50
Curso: Data Visualization with R, Promedio: 4.60
Curso: Data Visualization with Tableau, Promedio: 4.80
Curso: Data Visualization with Tableau Specialization, Promedio: 4.50
Curso: Data Warehousing and Business Intelligence, Promedio: 4.50
Curso: Data Wrangling, Analysis and AB Testing with SQL, Promedio: 3.30
Curso: Data, Security, and Privacy, Promedio: 4.60
Curso: Data-Driven Animation for Science Communication, Promedio: 4.80
Curso: Data-Driven Decision Making (DDDM) Specialization, Promedio: 4.60
Curso: DataOps Methodology , Promedio: 4.70
Curso: Database Clients, Promedio: 4.30
Curso: Database Design and Basic SQL in PostgreSQL, Promedio: 4.80
Curso: Database Design and Operational Business Intelligence Specialization, Promedio: 4.50
Curso: Database Engineer Capstone, Promedio: 3.80
Curso: Database Structures and Management with MySQL, Promedio: 4.80
Curso: Databases and SQL for Data Science with Python, Promedio: 4.60
Curso: Databases for Data Scientists Specialization, Promedio: 4.70
Curso: De-Mystifying Mindfulness, Promedio: 4.80
Curso: Decentralized Finance (DeFi) Infrastructure, Promedio: 4.80
Curso: Decentralized Finance (DeFi) Primitives, Promedio: 4.90
Curso: Decentralized Finance (DeFi): The Future of Finance Specialization, Promedio: 4.80
Curso: Decision-Making: Blending Art & Science, Promedio: 4.80
Curso: Decisions, Decisions: Dashboards and Reports, Promedio: 4.80
Curso: Deep Learning Specialization, Promedio: 4.90
Curso: Deep Neural Networks with PyTorch, Promedio: 4.40
Curso: Deep Time: Discovering an Ancient Earth, Promedio: 4.80
Curso: DeepLearning.AI TensorFlow Developer Professional Certificate, Promedio: 4.70
Curso: Delivering Quality Work with Agility, Promedio: 4.60
Curso: Dense Gases, Liquids and Solids, Promedio: 4.50
Curso: Density Functional Theory, Promedio: 4.90
Curso: Dentistry 101, Promedio: 4.80
Curso: Deploy a website to Azure with Azure App Service, Promedio: 4.80
Curso: Deploy and Maintain Power BI Assets and Capstone project, Promedio: 4.00
Curso: Deploying SAP on Google Cloud, Promedio: 4.60
Curso: Desarrolla tu líder, Promedio: 4.90
Curso: Desarrollador back-end de Meta Professional Certificate, Promedio: 4.50
Curso: Desarrollador de Meta de Android Professional Certificate, Promedio: 4.60
Curso: Desarrollador front-end de Meta Professional Certificate, Promedio: 4.60
Curso: Desarrollo de Videojuegos 3D en Unity: Una Introducción, Promedio: 4.20
Curso: Design Computing: 3D Modeling in Rhinoceros with Python/Rhinoscript, Promedio: 4.90
Curso: Design Thinking Specialization, Promedio: 4.70
Curso: Design Thinking for Innovation, Promedio: 4.70
Curso: Design Thinking for the Greater Good: Innovation in the Social Sector, Promedio: 4.70
Curso: Design Thinking: Insights to Inspiration , Promedio: 4.60
Curso: Design a User Experience for Social Good & Prepare for Jobs, Promedio: 4.90
Curso: Design and Conduct of Clinical Trials, Promedio: 4.70
Curso: Design de uma experiência do usuário para o bem social e preparação para o mercado, Promedio: 4.90
Curso: Design for Additive Manufacturing, Promedio: 4.90
Curso: Design of Experiments Specialization, Promedio: 4.70
Curso: Design of High-Performance Optical Systems, Promedio: 4.60
Curso: Designing Effective Science Communication, Promedio: 4.50
Curso: Designing Learning Innovation, Promedio: 4.90
Curso: Designing User Interfaces and Experiences (UI/UX), Promedio: 4.60
Curso: Detect and Mitigate Ethical Risks, Promedio: 4.50
Curso: DevOps on AWS Specialization, Promedio: 4.70
Curso: DevOps on AWS: Code, Build, and Test, Promedio: 4.60
Curso: DevOps, Cloud, and Agile Foundations Specialization, Promedio: 4.80
Curso: DevOps, DataOps, MLOps, Promedio: 3.70
Curso: DevOps: Introduction to Developer Operations Specialization, Promedio: 3.50
Curso: Developing AI Applications on Azure, Promedio: 4.40
Curso: Developing AI Applications with Python and Flask, Promedio: 4.30
Curso: Developing APIs with Google Cloud's Apigee API Platform Specialization, Promedio: 4.70
Curso: Developing Applications in Python on AWS, Promedio: 4.80
Curso: Developing Applications with Google Cloud Specialization, Promedio: 4.70
Curso: Developing Back-End Apps with Node.js and Express, Promedio: 4.40
Curso: Developing Cloud Apps with Node.js and React, Promedio: 4.00
Curso: Developing Data Models with LookML, Promedio: 4.70
Curso: Developing Front-End Apps with React, Promedio: 4.30
Curso: Developing Innovative Ideas for Product Leaders, Promedio: 4.40
Curso: Developing Interpersonal Skills , Promedio: 4.70
Curso: Developing Your Musicianship Specialization, Promedio: 4.90
Curso: Developing Your Musicianship: Final Project, Promedio: 4.90
Curso: Developing a Google SRE Culture, Promedio: 4.70
Curso: Developing the SIR Model, Promedio: 4.80
Curso: Diagnóstico y tratamiento del dolor neuropático en atención primaria, Promedio: 4.80
Curso: Differential Calculus through Data and Modeling Specialization, Promedio: 4.80
Curso: Differential Equations for Engineers, Promedio: 4.90
Curso: Digital Business Specialization, Promedio: 4.50
Curso: Digital Business Strategy, Promedio: 4.70
Curso: Digital Channel Planning and E-Commerce Strategy, Promedio: 4.60
Curso: Digital Content Planning and Management, Promedio: 4.60
Curso: Digital Fashion Innovation Specialization, Promedio: 4.60
Curso: Digital Fashion Mindset, Promedio: 4.60
Curso: Digital Fashion Reality, Promedio: 4.50
Curso: Digital Forensics Concepts, Promedio: 4.80
Curso: Digital Forensics Essentials (DFE), Promedio: 4.80
Curso: Digital Information Literacy, Promedio: 4.60
Curso: Digital Marketing Analytics in Theory, Promedio: 4.50
Curso: Digital Product Management Specialization, Promedio: 4.80
Curso: Digital Product Management: Modern Fundamentals, Promedio: 4.70
Curso: Digital Signal Processing 1: Basic Concepts and Algorithms, Promedio: 4.50
Curso: Digital Signal Processing 2: Filtering, Promedio: 4.70
Curso: Digital Signal Processing 3: Analog vs Digital, Promedio: 4.80
Curso: Digital Signal Processing 4: Applications, Promedio: 4.70
Curso: Digital Signal Processing Specialization, Promedio: 4.60
Curso: Digital Strategy and Business Opportunity, Promedio: 4.60
Curso: Digital Technologies and the Future of Manufacturing  Specialization, Promedio: 4.60
Curso: Digital Transformation, Promedio: 4.80
Curso: Digital Transformation with Google Cloud, Promedio: 4.80
Curso: Digital Twins, Promedio: 4.70
Curso: Digitalisation in Aeronautics, Promedio: 4.60
Curso: Digitalisation in Aeronautics and Space Specialization, Promedio: 4.70
Curso: Digitalisation in Space Research, Promedio: 4.70
Curso: Digitalisation in the Aerospace Industry, Promedio: 4.60
Curso: Diode - pn Junction and Metal Semiconductor Contact, Promedio: 4.50
Curso: Dirección y Gestión de Negocios Specialization, Promedio: 4.60
Curso: Disability Inclusion in Education: Building Systems of Support , Promedio: 4.80
Curso: Disaster Risk Management and Korean Policies, Promedio: 4.70
Curso: Disease Clusters, Promedio: 4.70
Curso: Diseñar una experiencia del usuario de una iniciativa de interés público y prepararse para el trabajo, Promedio: 4.80
Curso: Diseño Instruccional: Aprendizaje activo y Pedagogía digital Specialization, Promedio: 4.70
Curso: Diseño de Actividades con PhET para la Educación STEM, Promedio: 5.00
Curso: Diseño de Experiencia del Usuario (UX) de Google Professional Certificate, Promedio: 4.90
Curso: Diseño de Proyectos de Desarrollo, Promedio: 4.80
Curso: Diseño instruccional para el aprendizaje activo , Promedio: 4.70
Curso: Diseño y Gestión de Proyectos de Desarrollo Specialization, Promedio: 4.80
Curso: Displays, Promedio: 4.20
Curso: Distributed Computing with Spark SQL, Promedio: 4.50
Curso: Diversity and Inclusion for HR Professionals, Promedio: 4.70
Curso: Diversity, Equity & Inclusion, Promedio: 4.80
Curso: Diversity, Equity, and Inclusion for Organizational Leaders Specialization, Promedio: 5.00
Curso: Django Application Development with SQL and Databases, Promedio: 4.50
Curso: Django Web Framework , Promedio: 4.70
Curso: Django for Everybody Specialization, Promedio: 4.70
Curso: Driving business towards the Sustainable Development Goals, Promedio: 4.80
Curso: Drones for Environmental Science, Promedio: 4.90
Curso: Dynamic Programming, Greedy Algorithms, Promedio: 4.50
Curso: Dynamic Public Speaking Specialization, Promedio: 4.80
Curso: Début du processus de conception UX : Empathie, définition et formulation d’idées, Promedio: 4.70
Curso: E-Business: Negocios Online, Promedio: 4.70
Curso: E-Marketing Specialization, Promedio: 4.70
Curso: ESG Investing: Financial Decisions in Flux Specialization, Promedio: 4.60
Curso: ETL and Data Pipelines with Shell, Airflow and Kafka, Promedio: 4.50
Curso: Earth Economics, Promedio: 4.70
Curso: Econometrics for Economists and Finance Practitioners Specialization, Promedio: 3.20
Curso: Economics: Society, Markets, and [In]equality, Promedio: 4.80
Curso: Economía y Finanzas de Empresas, Promedio: 4.70
Curso: Ecosystems of California, Promedio: 4.70
Curso: Edible Insects, Promedio: 4.90
Curso: Educación ambiental para la biodiversidad, Promedio: 4.80
Curso: Educación en Contextos Rurales: Perspectivas en América Latina, Promedio: 4.80
Curso: Educating Deaf Children: Becoming an Empowered Teacher, Promedio: 4.90
Curso: Effective Communication: Writing, Design, and Presentation Specialization, Promedio: 4.80
Curso: Effective Problem-Solving and Decision-Making, Promedio: 4.60
Curso: Effective Programming in Scala, Promedio: 4.70
Curso: El ABC de la sostenibilidad , Promedio: 4.80
Curso: El Abogado del Futuro: Legaltech y la Transformación Digital del Derecho, Promedio: 4.90
Curso: El Holocausto: el abismo de la humanidad, Promedio: 5.00
Curso: El trabajo por proyectos en escuelas de contextos rurales, Promedio: 4.80
Curso: Elastic Cloud Infrastructure: Scaling and Automation 日本語版, Promedio: 4.50
Curso: Elastic Google Cloud Infrastructure: Scaling and Automation, Promedio: 4.70
Curso: Electric Vehicle Sensors, Promedio: 4.20
Curso: Electrical Properties and Semiconductors, Promedio: 4.20
Curso: Electronic Music Production Specialization, Promedio: 4.80
Curso: Embajador de la Vacuna COVID: Cómo Hablar con los Padres, Promedio: 4.90
Curso: Embedded Interface Design Specialization, Promedio: 4.00
Curso: Embedded Software and Hardware Architecture, Promedio: 4.50
Curso: Embedding Sensors and Motors Specialization, Promedio: 4.60
Curso: Emotional Intelligence: Cultivating Immensely Human Interactions, Promedio: 4.70
Curso: Employee Relations, Promedio: 4.60
Curso: Empowering Yourself in a Post-Truth World, Promedio: 4.40
Curso: Encoder-Decoder Architecture, Promedio: 4.00
Curso: Energy Harvesting, Promedio: 4.40
Curso: Energy management for real estate. Methods and digital tools, Promedio: 4.50
Curso: Engineering Health: Introduction to Yoga and Physiology, Promedio: 4.80
Curso: Engineering and Product Design Processes, Promedio: 4.60
Curso: Engineering of Structures: Response of Structures, Promedio: 5.00
Curso: Engineering of Structures: Tension, Promedio: 4.90
Curso: English Language Skills A2-B1 CEFR: Low-Intermediate Specialization, Promedio: 4.60
Curso: English Lower Intermediate B1.1, Promedio: 4.10
Curso: Enseñar, aprender y evaluar en Escuelas Rurales, Promedio: 4.80
Curso: Entendiendo la depresión a lo largo del ciclo vital, Promedio: 4.90
Curso: Enterprise Database Migration, Promedio: 4.50
Curso: Enterprise Systems, Promedio: 4.80
Curso: Entrepreneurial Finance: Strategy and Innovation Specialization, Promedio: 4.50
Curso: Entrepreneurship: Growing Your Business Specialization, Promedio: 4.80
Curso: Environmental Hazards and Global Public Health, Promedio: 4.80
Curso: Environmental Health: the Foundation of Global Public Health, Promedio: 4.70
Curso: Epidemiology for Public Health Specialization, Promedio: 4.80
Curso: Epidemiology in Public Health Practice Specialization, Promedio: 4.70
Curso: Equivalent Circuit Cell Model Simulation, Promedio: 4.70
Curso: Escritura académica. Estilos de citación y referenciación., Promedio: 4.90
Curso: Esports Specialization, Promedio: 4.50
Curso: Essential Cloud Infrastructure: Core Services 日本語版, Promedio: 4.50
Curso: Essential Cloud Infrastructure: Foundation - Español, Promedio: 4.80
Curso: Essential Cloud Infrastructure: Foundation - 日本語版, Promedio: 4.60
Curso: Essential Epidemiologic Tools for Public Health Practice, Promedio: 4.70
Curso: Essential Google Cloud Infrastructure: Core Services, Promedio: 4.70
Curso: Essential Google Cloud Infrastructure: Foundation, Promedio: 4.70
Curso: Essential Linear Algebra for Data Science, Promedio: 4.50
Curso: Essential Skills for Your Career Development, Promedio: 4.60
Curso: Essentials of Management and Strategic Planning, Promedio: 4.70
Curso: Essentials of Palliative Care, Promedio: 4.60
Curso: Establishing Product-Market Fit, Promedio: 4.50
Curso: Estilos de Liderazgo: opciones para avanzar en desafíos complejos, Promedio: 4.90
Curso: Estimación de la línea base de tiempos y costos, Promedio: 4.90
Curso: Ethical Hacking Essentials (EHE), Promedio: 4.60
Curso: Ethical Issues in Data Science, Promedio: 4.60
Curso: Ethical Leadership Specialization, Promedio: 4.90
Curso: Ethical Leadership Through Giving Voice to Values, Promedio: 4.70
Curso: Ethics in Engineering, Promedio: 4.80
Curso: Ethics in the Age of AI Specialization, Promedio: 4.70
Curso: Ethics of Artificial Intelligence, Promedio: 4.70
Curso: Ethics of Psychological Research, Promedio: 4.90
Curso: European Business Law  Specialization, Promedio: 4.80
Curso: European Business Law: Competing in Europe, Promedio: 4.80
Curso: European Business Law: Doing Business in Europe, Promedio: 4.80
Curso: European Business Law: Understanding the Fundamentals, Promedio: 4.80
Curso: Evaluating Large-Scale Health Programs Specialization, Promedio: 4.20
Curso: Evaluating the Quality of Healthcare Delivery, Promedio: 4.60
Curso: Evaluations of AI Applications in Healthcare, Promedio: 4.60
Curso: Everyday Excel Specialization, Promedio: 4.70
Curso: Everyday Excel, Part 1, Promedio: 4.70
Curso: Everyday Excel, Part 2, Promedio: 4.80
Curso: Exam Prep AZ-104: Microsoft Azure Administrator Associate Specialization, Promedio: 3.80
Curso: Exam Prep: AWS Certified Cloud Practitioner Foundations, Promedio: 4.50
Curso: Exam Prep: AWS Certified Solutions Architect - Associate, Promedio: 4.70
Curso: Excel Basics for Data Analysis, Promedio: 4.80
Curso: Excel Fundamentals for Data Analysis, Promedio: 4.80
Curso: Excel Skills for Business Specialization, Promedio: 4.90
Curso: Excel/VBA for Creative Problem Solving, Part 1, Promedio: 4.80
Curso: Executive Data Science Specialization, Promedio: 4.50
Curso: Expanding SEL, Promedio: 4.80
Curso: Experiencing Design: Deepening Your Design Thinking Practice, Promedio: 4.90
Curso: Experimental Design Basics, Promedio: 4.70
Curso: Explore Core Data Concepts in Microsoft Azure, Promedio: 4.80
Curso: Exploring Data Transformation with Google Cloud, Promedio: 4.80
Curso: Exploring Emerging Technologies for Lifelong Learning and Success, Promedio: 4.30
Curso: Exploring Our Responses to Climate Change Specialization, Promedio: 4.80
Curso: Exploring Piano Literature: The Piano Sonata Specialization, Promedio: 4.90
Curso: Exploring Renewable Energy Schemes, Promedio: 4.70
Curso: Expressway to Data Science: Essential Math Specialization, Promedio: 4.50
Curso: Expressway to Data Science: Python Programming Specialization, Promedio: 4.70
Curso: Expressway to Data Science: R Programming and Tidyverse Specialization, Promedio: 4.20
Curso: Extended Reality for Everybody Specialization, Promedio: 4.70
Curso: Extinctions: Past, Present, & Future, Promedio: 4.80
Curso: Extract, Transform and Load Data in Power BI, Promedio: 4.40
Curso: FPGA Capstone:  Building FPGA Projects, Promedio: 4.60
Curso: FPGA Design for Embedded Systems Specialization, Promedio: 4.50
Curso: FPGA Softcore Processors and IP Acquisition, Promedio: 3.90
Curso: Faire preuve de prudence : gestion des risques de sécurité, Promedio: 4.30
Curso: Fandom and Popular Culture in the Digital Age Specialization, Promedio: 4.90
Curso: Fandom, Social Media, and Authenticity in the Digital Age, Promedio: 4.70
Curso: Fashion Design, Promedio: 4.60
Curso: Fashion Retail Transformation, Promedio: 4.70
Curso: Fashion Systems, Promedio: 4.70
Curso: Fazer perguntas para tomar decisões com base em dados, Promedio: 4.80
Curso: Feedback Loops: How to Give & Receive High-Quality Feedback Specialization, Promedio: 4.60
Curso: Feminism and Social Justice, Promedio: 4.80
Curso: Fibonacci Numbers and the Golden Ratio, Promedio: 4.80
Curso: Finance & Quantitative Modeling for Analysts Specialization, Promedio: 4.50
Curso: Finance for Technical Managers Specialization, Promedio: 4.60
Curso: Financial Accounting Fundamentals, Promedio: 4.80
Curso: Financial Engineering and Risk Management Specialization, Promedio: 4.50
Curso: Financial Statement Analysis, Promedio: 4.50
Curso: Financial Technology (Fintech) Innovations Specialization, Promedio: 4.70
Curso: Financing and Initiating Major Engineering Projects, Promedio: 4.80
Curso: Finding Purpose and Meaning In Life: Living for What Matters Most, Promedio: 4.80
Curso: Finding Your Professional Voice: Confidence & Impact, Promedio: 4.70
Curso: Fintech Startups in Emerging Markets Specialization, Promedio: 4.60
Curso: Fintech: Foundations & Applications of Financial Technology Specialization, Promedio: 4.60
Curso: First Order Optical System Design, Promedio: 4.30
Curso: First Principles of Computer Vision Specialization, Promedio: 4.80
Curso: Fitting Statistical Models to Data with Python, Promedio: 4.40
Curso: Flight Mechanics - Anemobarometry, Promedio: 4.90
Curso: Flight mechanics - Lift and trajectory, Promedio: 4.80
Curso: Flight mechanics - Propulsive balance and energy, Promedio: 4.70
Curso: Flight mechanics - The basis, Promedio: 4.70
Curso: Fondamentaux de la cybersécurité, Promedio: 4.80
Curso: Fondamentaux de l’infographie, Promedio: 4.20
Curso: Food Sustainability, Mindful Eating, and Healthy Cooking Specialization, Promedio: 4.80
Curso: Formadores de Ciudadanía, Promedio: 4.90
Curso: Formula preguntas para tomar decisiones basadas en datos, Promedio: 4.80
Curso: Foundation of Structural Dynamics, Promedio: 3.80
Curso: Foundational Finance for Strategic Decision Making Specialization, Promedio: 4.80
Curso: Foundational Skills for Communicating About Health, Promedio: 4.70
Curso: Foundations for Interviewing with Confidence, Promedio: 4.50
Curso: Foundations of Business Intelligence, Promedio: 4.70
Curso: Foundations of Business Strategy, Promedio: 4.80
Curso: Foundations of Computer Science, Promedio: 4.60
Curso: Foundations of Cybersecurity, Promedio: 4.90
Curso: Foundations of Data Science, Promedio: 4.70
Curso: Foundations of Data Science: K-Means Clustering in Python, Promedio: 4.60
Curso: Foundations of Data Structures and Algorithms Specialization, Promedio: 4.70
Curso: Foundations of Digital Marketing and E-commerce, Promedio: 4.80
Curso: Foundations of Health Equity Research, Promedio: 4.80
Curso: Foundations of Information Systems for Business, Promedio: 4.70
Curso: Foundations of Positive Psychology  Specialization, Promedio: 4.80
Curso: Foundations of Project Management, Promedio: 4.90
Curso: Foundations of Public Health Practice: The Public Health Toolkit , Promedio: 4.50
Curso: Foundations of Quantum Mechanics, Promedio: 4.40
Curso: Foundations of Software Testing and Validation, Promedio: 4.60
Curso: Foundations of Sports Analytics: Data, Representation, and Models in Sports, Promedio: 4.40
Curso: Foundations of User Experience (UX) Design, Promedio: 4.80
Curso: Foundations: Data, Data, Everywhere, Promedio: 4.80
Curso: Fractal Data Science  Professional Certificate, Promedio: 4.40
Curso: From Excel to Power BI, Promedio: 4.40
Curso: From Likes to Leads: Interact with Customers Online, Promedio: 4.80
Curso: From the Big Bang to Dark Energy, Promedio: 4.80
Curso: Front-End Developer Capstone , Promedio: 4.50
Curso: Frontend Development using React  Specialization, Promedio: 3.20
Curso: Frontend for Java Full Stack Development, Promedio: 4.40
Curso: Frontiers in Dentistry, Promedio: 4.90
Curso: Frozen in the Ice: Exploring the Arctic, Promedio: 4.80
Curso: Full Stack Cloud Development Capstone Project, Promedio: 4.30
Curso: Full Stack Software Developer Assessment, Promedio: 4.70
Curso: Full Stack Web Development en Español Specialization, Promedio: 4.20
Curso: Functional Programming Principles in Scala, Promedio: 4.80
Curso: Functional Programming Principles in Scala (Scala 2 version), Promedio: 4.80
Curso: Functional Programming in Scala Specialization, Promedio: 4.70
Curso: Fundamental Skills in Bioinformatics, Promedio: 4.60
Curso: Fundamental Skills in Engineering Design, Promedio: 4.70
Curso: Fundamentals for Implementing a Hypertension Program, Promedio: 4.90
Curso: Fundamentals of Audio and Music Engineering: Part 1 Musical Sound & Electronics, Promedio: 4.60
Curso: Fundamentals of Business Analysis , Promedio: 4.50
Curso: Fundamentals of Equities, Promedio: 4.40
Curso: Fundamentals of Flight mechanics Specialization, Promedio: 4.80
Curso: Fundamentals of GIS, Promedio: 4.80
Curso: Fundamentals of Graphic Design, Promedio: 4.80
Curso: Fundamentals of Java Programming, Promedio: 4.30
Curso: Fundamentals of Machine Learning for Healthcare, Promedio: 4.80
Curso: Fundamentals of Macroscopic and Microscopic Thermodynamics, Promedio: 4.30
Curso: Fundamentals of Project Planning and Management, Promedio: 4.70
Curso: Fundamentals of Red Hat Enterprise Linux, Promedio: 4.80
Curso: Fundamentals of Reinforcement Learning, Promedio: 4.80
Curso: Fundamentals of Software Architecture for Big Data, Promedio: 3.30
Curso: Fundamentals of Technology Sales, Promedio: 4.70
Curso: Fundamentals of Visualization with Tableau, Promedio: 4.50
Curso: Fundamentals of financial and management accounting, Promedio: 4.70
Curso: Fundamentals of particle accelerator technology  (NPAP MOOC), Promedio: 4.60
Curso: Fundamentos de la ciberseguridad, Promedio: 4.90
Curso: Fundamentos de la escritura, Promedio: 4.70
Curso: Fundamentos de la gestión de proyectos, Promedio: 4.90
Curso: Fundamentos de la gestión del talento humano, Promedio: 4.80
Curso: Fundamentos del marketing digital y comercio electrónico, Promedio: 4.90
Curso: Fundamentos do design da experiência do usuário (UX), Promedio: 4.90
Curso: Fundamentos do gerenciamento de projetos, Promedio: 4.90
Curso: Fundamentos: dados, dados, em todos os lugares, Promedio: 4.90
Curso: Future Ready Company Specialization, Promedio: 4.90
Curso: Futures Thinking Specialization, Promedio: 4.80
Curso: GIS Data Formats, Design and Quality, Promedio: 4.80
Curso: GPT Vision: Seeing the World through Generative AI, Promedio: 4.50
Curso: Game Design and Development with Unity 2020 Specialization, Promedio: 4.70
Curso: Game Design: Art and Concepts Specialization, Promedio: 4.70
Curso: GenAI for Everyone, Promedio: 4.10
Curso: Gender Analytics for Innovation, Promedio: 4.80
Curso: Gender Analytics: Gender Equity through Inclusive Design Specialization, Promedio: 4.90
Curso: Generalized Linear Models and Nonparametric Regression, Promedio: 4.30
Curso: Generative AI Essentials: Overview and Impact, Promedio: 4.70
Curso: Generative AI Fundamentals Specialization, Promedio: 4.70
Curso: Generative AI Primer, Promedio: 4.70
Curso: Generative AI for Data Scientists Specialization, Promedio: 4.80
Curso: Generative AI for Everyone, Promedio: 4.90
Curso: Generative AI for Software Developers Specialization, Promedio: 5.00
Curso: Generative AI with Large Language Models, Promedio: 4.80
Curso: Generative AI: Foundation Models and Platforms, Promedio: 4.80
Curso: Generative AI: Impact, Considerations, and Ethical Issues, Promedio: 4.70
Curso: Generative AI: Introduction and Applications, Promedio: 4.70
Curso: Generative AI: Prompt Engineering Basics, Promedio: 4.80
Curso: Generative Adversarial Networks (GANs) Specialization, Promedio: 4.70
Curso: Generative Design for Additive Manufacturing, Promedio: 4.80
Curso: Generative Design for Industrial Applications, Promedio: 4.80
Curso: Generative Design for Part Consolidation, Promedio: 4.90
Curso: Generative Design for Performance and Weight Reduction, Promedio: 4.80
Curso: Generative Pre-trained Transformers (GPT), Promedio: 4.40
Curso: Genomic Data Science Specialization, Promedio: 4.40
Curso: Geographic Information Systems  (GIS) Specialization, Promedio: 4.80
Curso: Gestion de projet de Google  Professional Certificate, Promedio: 4.60
Curso: Gestión con enfoque en riesgos en proyectos de desarrollo, Promedio: 4.90
Curso: Gestión de Proyectos de Google Professional Certificate, Promedio: 4.90
Curso: Gestión de redes sociales, Promedio: 4.90
Curso: Gestión estratégica de Escuelas en Contextos Rurales, Promedio: 4.80
Curso: Get Started with Python, Promedio: 4.80
Curso: Getting Started on Mainframe with z/OS Commands and Panels, Promedio: 4.70
Curso: Getting Started with Azure, Promedio: 4.40
Curso: Getting Started with Data Analytics on AWS, Promedio: 4.50
Curso: Getting Started with Data Warehousing and BI Analytics, Promedio: 4.40
Curso: Getting Started with Front-End and Web Development, Promedio: 4.40
Curso: Getting Started with Generative AI API Specialization, Promedio: 3.60
Curso: Getting Started with Git and GitHub, Promedio: 4.60
Curso: Getting Started with Google Kubernetes Engine, Promedio: 4.50
Curso: Getting Started with Google Kubernetes Engine - Español, Promedio: 4.60
Curso: Getting Started with Google Kubernetes Engine - 日本語版, Promedio: 4.10
Curso: Getting Started with Google Workspace en Español Specialization, Promedio: 4.60
Curso: Getting Started with Leadership, Promedio: 4.70
Curso: Getting started with Google Workspace Specialization, Promedio: 4.80
Curso: Giving Helpful Feedback, Promedio: 4.80
Curso: Global Disease Masterclass: Global Disease Distribution, Promedio: 4.70
Curso: Global Health Challenges and Governance Specialization, Promedio: 5.00
Curso: Global Health Innovations Specialization, Promedio: 4.70
Curso: Global Health Policy, Promedio: 4.70
Curso: Global Health Security, Solidarity and Sustainability through the International Health Regulations, Promedio: 4.70
Curso: Global Procurement and Sourcing Specialization, Promedio: 4.70
Curso: Global Systemic Risk , Promedio: 4.70
Curso: Global sustainability and corporate social responsibility: Be sustainable, Promedio: 4.80
Curso: Gmail, Promedio: 4.80
Curso: Gmail en Español, Promedio: 4.80
Curso: Go Beyond the Numbers: Translate Data into Insights, Promedio: 4.80
Curso: Gobierno Digital, Promedio: 4.60
Curso: Good with Words: Speaking and Presenting Specialization, Promedio: 4.70
Curso: Good with Words: Writing and Editing Specialization, Promedio: 4.70
Curso: Goodwill® Career Coach and Navigator Professional Certificate, Promedio: 4.70
Curso: Google Advanced Data Analytics Capstone, Promedio: 4.90
Curso: Google Advanced Data Analytics Professional Certificate, Promedio: 4.80
Curso: Google Business Intelligence Professional Certificate, Promedio: 4.70
Curso: Google Calendar, Promedio: 4.80
Curso: Google Calendar en Español, Promedio: 4.60
Curso: Google Chat, Promedio: 4.80
Curso: Google Cloud Big Data and Machine Learning Fundamentals, Promedio: 4.70
Curso: Google Cloud Database Engineer Specialization, Promedio: 4.70
Curso: Google Cloud Digital Leader Training Professional Certificate, Promedio: 4.80
Curso: Google Cloud Fundamentals: Core Infrastructure, Promedio: 4.70
Curso: Google Cloud Fundamentals: Core Infrastructure em Português Brasileiro, Promedio: 4.80
Curso: Google Cloud Fundamentals: Core Infrastructure en Español, Promedio: 4.80
Curso: Google Cloud Fundamentals: Core Infrastructure en Français, Promedio: 4.70
